player_id,first_name,last_name,country,age,born,turned_pro,college,birthplace
1226,,,,,,,,
1666,,,,,,,,
1717,,,,,,,,
1810,,,,,,,,
1823,,,,,,,,
6373,,,,,,,,
6567,,,,,,,,
8793,,,,,,,,
10423,Mike,Weir,Canada,56,"May 12, 1970",1992,Brigham Young University,"Sarnia, Ontario, Canada"
21209,Sergio,Garcia,Spain,46,"January 09, 1980",1999,-,"Castellon, Spain"
22405,Justin,Rose,England,45,"July 30, 1980",1998,-,"Johannesburg, South Africa"
24024,Zach,Johnson,United States,50,"February 24, 1976",1998,Drake University,"Cedar Rapids, IA"
24502,Adam,Scott,Australia,45,"July 16, 1980",2000,University of Nevada-Las Vegas,"Adelaide, Australia"
25198,Francesco,Molinari,Italy,43,"November 08, 1982",2004,University of Torino,"Turin, Italy"
25396,,,,,,,,
25804,Bubba,Watson,United States,47,"November 05, 1978",2002,Faulkner State Community College,"Bagdad, FL"
26329,Louis,Oosthuizen,South Africa,43,"October 19, 1982",2002,-,"Mossel Bay, South Africa"
26331,Charl,Schwartzel,South Africa,41,"August 31, 1984",2002,-,"Johannesburg, South Africa"
27349,Alex,Noren,Sweden,43,"July 12, 1982",2005,Oklahoma State University,"Stockholm, Sweden"
27644,Brian,Harman,United States,39,"January 19, 1987",2009,University of Georgia,"Savannah, GA"
28089,Jason,Day,Australia,38,"November 12, 1987",2006,-,"Beaudesert, Queensland, Australia"
28237,Rory,McIlroy,Northern Ireland,37,"May 04, 1989",2007,-,"Holywood, Northern Ireland"
28252,Seamus,Power,Ireland,39,"March 04, 1987",2011,East Tennessee State University,"Waterford, Ireland"
29420,Billy,Horschel,United States,39,"December 07, 1986",2009,University of Florida,"Grant, FL"
29478,Kevin,Kisner,United States,42,"February 15, 1984",2006,University of Georgia,"Aiken, SC"
29725,Tony,Finau,United States,36,"September 14, 1989",2007,-,"Salt Lake City, UT"
29936,Ryan,Fox,New Zealand,39,"January 22, 1987",2011,-,"Auckland, New Zealand"
30692,Scott,Stallings,United States,41,"March 25, 1985",2007,Tennessee Tech,"Worcester, MA"
30911,Tommy,Fleetwood,England,35,"January 19, 1991",2010,-,"Southport, England"
30925,Dustin,Johnson,United States,41,"June 22, 1984",2007,Coastal Carolina University,"Columbia, SC"
30926,Chris,Kirk,United States,41,"May 08, 1985",2007,University of Georgia,"Atlanta, GA"
30944,Jason,Kokrak,United States,41,"May 22, 1985",2008,Xavier University,"North Bay, Ontario, Canada"
31323,Gary,Woodland,United States,42,"May 21, 1984",2007,University of Kansas,"Topeka, KS"
32139,Danny,Willett,England,38,"October 03, 1987",2008,Jacksonville State University,"Sheffield, England"
32791,K.H.,Lee,Republic of Korea,34,"August 24, 1991",2010,Korea National Sport University,"Seoul, South Korea"
32839,Hideki,Matsuyama,Japan,34,"February 25, 1992",2013,Tohoku Fukushi University,"Ehime, Japan"
33141,Keegan,Bradley,United States,39,"June 07, 1986",2008,St. John's University,"Woodstock, VT"
33204,Shane,Lowry,Ireland,39,"April 02, 1987",2009,University College Dublin,"Clara, County Offaly, Ireland"
